can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,defensive_contribution_per_90,points_per_minute,goals_per_minute,assists_per_minute,position,team_name,fixture_difficulty,defensive_value,attacking_value,form_score,value_score,captain_score,expected_ppg,position_encoded,points_per_90,goals_per_90,assists_per_90,points_per_cost,cost_efficiency,creativity_threat,influence_minutes,gk_saves_value,def_clean_sheet_value,mid_creativity_value,fwd_goal_value,recent_form,consistency,card_risk,injury_risk,ownership_trend,value_vs_ownership,captain_potential,overall_value,predicted_points,player_value
True,True,0.0,0.0,498016,0,0,0,0,0,1,2.3,1.8,8,Robin,8.0,670,False,,,4.5,498016.jpg,8.0,False,Roefs,0.3,False,,a,17,56,8,4625,4625,359,359,1.8,1.8,Roefs,152.0,2025-08-01,2003-01-17,False,p498016,90,0,0,1,0,0,0,0,0,0,4,1,31,30.2,0.0,0.0,3.0,3,10,0,0,1,0.00,0.00,0.00,0.61,23,3,372,63,348,63,69,2,0.0,,0.0,,0.0,,0.0,4.0,0.0,0.0,0.61,0.0,481,33,16,3,16,3,322,47,1.0,1.0,0.0,0.08888888888888889,0.0,0.0,GK,Sunderland,2.4645896825396827,5.0,4.1,8.0,17.77777777777778,7.611962585618183,8.0,0,8.0,0.0,0.0,1.7777777777777777,1.7777777777777777,0.0,30.2,0.4,0,0.0,0,8.0,8.0,0,0,0.3,1.3675213675213673,9.127082063492063,6.358749746031746,7.992488837144407,0.07499956990596615
True,True,0.0,0.0,184254,0,0,0,0,1,1,2.6,3.6,9,Guglielmo,9.0,565,True,,,5.0,184254.jpg,9.0,False,Vicario,4.3,False,,a,18,6,9,5579,5579,6246,6246,1.8,1.8,Vicario,106.0,2023-07-01,1996-10-07,False,p184254,90,0,0,1,0,0,0,0,0,0,4,2,36,30.4,0.0,0.0,3.0,1,7,0,0,1,0.00,0.00,0.00,0.94,22,2,471,72,454,72,70,3,0.0,,0.0,,0.0,,0.0,4.0,0.0,0.0,0.94,0.0,246,11,12,2,12,2,79,11,1.0,1.0,0.0,0.1,0.0,0.0,GK,Spurs,2.582915946427711,6.0,5.6,9.0,18.0,7.978087569093492,9.0,0,9.0,0.0,0.0,1.8,1.8,0.0,30.4,0.4,0,0.0,0,9.0,9.0,0,0,4.3,0.339622641509434,9.823416810714457,7.004683362142892,9.009802473511998,0.07303534913262515
True,True,0.0,0.0,477064,0,0,0,0,1,2,3.1,3.1,11,Rico,11.0,410,True,,,5.0,477064.jpg,11.0,False,Lewis,0.9,False,,a,13,43,11,15329,15329,1896,1896,2.2,2.2,Lewis,241.0,2022-07-16,2004-11-21,False,p477064,65,0,1,1,0,0,0,0,0,0,0,2,41,29.0,13.0,8.0,5.0,5,1,1,6,1,0.00,0.53,0.53,0.29,26,6,49,15,53,9,35,5,0.0,,0.0,,0.0,,0.0,0.0,0.73,0.73,0.4,0.0,314,56,5,2,5,2,186,68,1.38,1.38,8.31,0.16923076923076924,0.0,0.015384615384615385,DEF,Man City,2.2913901515151514,6.0,9.100000000000001,15.230769230769232,22.0,11.450284484050815,15.230769230769232,1,15.230769230769232,0.0,1.3846153846153846,2.2,3.0461538461538464,104.0,20.944444444444443,0.0,4,0.0,0,15.230769230769232,15.230769230769232,0,0,0.9,1.1578947368421053,14.103260431235432,9.826805932400934,10.994270154058734,0.07370175878519471
True,True,0.0,0.0,441191,0,0,0,0,1,2,2.1,3.1,9,Tino,9.0,477,True,,,5.0,441191.jpg,9.0,False,Livramento,3.7,False,,a,15,4,9,7927,7927,2325,2325,1.8,1.8,Livramento,241.0,2023-08-08,2002-11-12,False,p441191,90,0,0,1,0,0,0,0,0,0,0,3,33,18.0,25.4,4.0,4.7,3,5,2,5,1,0.00,0.03,0.03,0.20,57,18,20,4,76,18,43,7,0.0,,0.0,,0.0,,0.0,0.0,0.03,0.03,0.2,0.0,298,52,13,4,13,4,85,29,1.0,1.0,5.0,0.1,0.0,0.0,DEF,Newcastle,2.5938943523355293,7.0,6.300000000000001,9.0,18.0,8.111927483293758,9.0,1,9.0,0.0,0.0,1.8,1.8,101.6,18.0,0.0,4,0.0,0,9.0,9.0,0,0,3.7,0.3829787234042553,8.581221129532894,6.756244225906579,9.008917665447324,0.07290430511757909
True,True,0.0,0.0,78916,0,0,0,0,0,2,2.1,3.1,9,Dan,9.0,476,False,,,5.0,78916.jpg,9.0,False,Burn,3.7,False,,a,15,4,9,11402,11402,3230,3230,1.8,1.8,Burn,241.0,2022-01-31,1992-05-09,False,p78916,90,0,0,1,0,0,0,0,0,0,0,1,30,18.6,1.2,2.0,2.2,10,5,1,11,1,0.00,0.01,0.01,0.20,54,15,119,41,96,28,93,29,0.0,,0.0,,0.0,,0.0,0.0,0.01,0.01,0.2,0.0,218,33,10,3,10,3,84,28,1.0,1.0,11.0,0.1,0.0,0.0,DEF,Newcastle,2.5938943523355293,5.0,4.0,9.0,18.0,8.108806796794836,9.0,1,9.0,0.0,0.0,1.8,1.8,2.4,18.6,0.0,4,0.0,0,9.0,9.0,0,0,3.7,0.3829787234042553,8.641221129532894,6.768244225906579,9.004297547330548,0.0728715021276394
True,True,0.0,0.0,434399,0,0,0,0,0,2,1.0,0.5,6,Reinildo,6.0,541,False,,,4.0,434399.jpg,6.0,False,Mandava,7.2,False,,a,17,56,6,23308,23308,2897,2897,1.5,1.5,Reinildo,146.0,2025-07-08,1994-01-21,False,p434399,90,0,0,1,0,0,0,0,0,0,0,0,27,13.6,2.5,0.0,1.6,6,3,2,8,1,0.00,0.00,0.00,0.61,74,29,93,29,160,55,113,39,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.61,0.0,605,167,25,8,25,8,59,21,1.0,1.0,8.0,0.06666666666666667,0.0,0.0,DEF,Sunderland,2.4645896825396827,4.0,2.7,6.0,15.0,5.5037050710114555,6.0,1,6.0,0.0,0.0,1.5,1.5,0.0,13.6,0.0,4,0.0,0,6.0,6.0,0,0,7.2,0.1829268292682927,6.067082063492064,4.663416412698413,6.659120717464169,0.06871576272017085
True,True,0.0,0.0,199796,0,0,0,0,0,2,1.9,1.4,8,Matty,8.0,36,False,,,4.5,199796.jpg,8.0,False,Cash,2.5,False,,a,2,7,8,34331,34331,2484,2484,1.8,1.8,Cash,172.0,2020-09-03,1997-08-07,False,p199796,90,0,0,1,0,0,0,0,0,0,0,0,25,37.6,1.1,2.0,4.1,9,2,2,11,1,0.00,0.00,0.00,1.43,14,3,122,43,90,23,52,12,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,1.43,0.0,394,88,15,6,15,6,107,37,1.0,1.0,11.0,0.08888888888888889,0.0,0.0,DEF,Aston Villa,2.7607548840048843,4.0,2.5,8.0,17.77777777777778,7.341816786169703,8.0,1,8.0,0.0,0.0,1.7777777777777777,1.7777777777777777,2.2,37.6,0.0,4,0.0,0,8.0,8.0,0,0,2.5,0.5079365079365079,9.807849023199022,6.494903137973138,8.019964114601262,0.06867346363357629
True,True,0.0,0.0,433036,0,0,0,0,1,3,2.5,2.5,10,Tijjani,10.0,427,True,,,5.5,433036.jpg,10.0,False,Reijnders,20.9,False,,a,13,43,10,186827,186827,8593,8593,1.8,1.8,Reijnders,152.0,2025-06-10,1998-07-29,False,p433036,90,1,1,1,0,0,0,0,1,0,0,0,32,53.0,22.7,30.0,10.6,1,1,1,3,1,0.12,0.21,0.33,0.49,5,2,25,18,16,8,9,5,0.0,,0.0,,0.0,,0.12,0.0,0.21,0.33,0.49,0.0,168,109,8,3,8,3,19,6,1.0,1.0,3.0,0.1111111111111111,0.011111111111111112,0.011111111111111112,MID,Man City,2.2913901515151514,4.0,12.2,10.0,18.18181818181818,6.481690046842035,10.0,2,10.0,1.0,1.0,1.8181818181818181,1.8181818181818181,681.0,53.0,0.0,0,2.27,0,10.0,10.0,1,0,20.9,0.08302200083022002,12.84172196969697,8.11379893939394,9.988362820700099,0.07799261862098923
True,True,0.0,0.0,219249,0,0,0,0,1,3,2.0,2.0,10,Matt,10.0,164,True,,,5.5,219249.jpg,10.0,False,O'Riley,0.2,False,,a,6,36,10,5129,5129,754,754,1.8,1.8,O'Riley,58.0,2024-08-26,2000-11-21,False,p219249,87,1,0,1,0,0,0,0,0,0,0,2,24,45.8,44.3,23.0,11.3,0,0,3,3,1,0.79,0.14,0.93,0.49,11,5,6,6,24,13,8,4,1.0,,2.0,,2.0,,0.82,0.0,0.14,0.96,0.51,0.0,152,99,7,2,7,2,345,115,1.03,1.03,3.1,0.11494252873563218,0.011494252873563218,0.0,MID,Brighton,3.0396444000819,6.0,10.4,10.344827586206897,18.18181818181818,9.597016682022604,10.344827586206897,2,10.344827586206897,1.0344827586206897,0.0,1.8181818181818181,1.8808777429467085,1018.9,44.27333333333333,0.0,0,4.43,0,10.344827586206897,10.344827586206897,0,0,0.2,1.5151515151515151,12.213450430328447,8.057110148761614,9.996600489773877,0.06238243099695915
True,True,0.0,0.0,460842,0,0,0,0,1,3,1.7,2.7,10,Mohammed,10.0,582,True,,,6.5,460842.jpg,10.0,False,Kudus,25.3,False,,a,18,6,10,51581,51581,18129,18129,1.5,1.5,Kudus,81.0,2025-07-10,2000-08-02,False,p460842,84,0,2,1,0,0,0,0,0,0,0,1,35,45.4,74.0,11.0,13.0,0,3,1,4,1,0.06,0.58,0.64,0.94,12,6,1,1,46,29,5,3,0.0,,0.0,,0.0,,0.06,0.0,0.62,0.68,1.01,0.0,68,48,9,4,9,4,11,4,1.07,1.07,4.29,0.11904761904761904,0.0,0.023809523809523808,MID,Spurs,2.582915946427711,5.0,10.5,10.714285714285714,15.384615384615383,6.554041159969998,10.714285714285714,2,10.714285714285714,0.0,2.142857142857143,1.5384615384615385,1.6483516483516483,814.0,42.373333333333335,0.0,0,7.4,0,10.714285714285714,10.714285714285714,0,0,25.3,0.058496636443404505,12.523416810714458,8.109078966538496,10.005420559801781,0.05728174056796965
