query,ProductId,text_similarity,query_length,query_word_count,exact_match,partial_match_ratio,avg_rating,rating_std,review_count,median_rating,total_helpful_votes,total_votes,avg_helpfulness_ratio,avg_review_length,review_length_std,avg_summary_length,first_review_time,last_review_time,unique_reviewers,review_span_days,review_velocity,helpfulness_rate,reviewer_diversity,is_controversial,is_high_quality,popularity_score,relevance_label
marinade,B0081PH9U0,0.0,1,1,0,0.0,5.0,,1,5.0,0,0,,236.0,,7.0,1337472000,1337472000,1,0.0,1.0,0.0,1.0,0,0,1.7772588722239782,1
marinade,B001EO7FH2,0.0,1,1,0,0.0,5.0,,1,5.0,0,0,,177.0,,23.0,1295568000,1295568000,1,0.0,1.0,0.0,1.0,0,0,1.7772588722239782,1
marinade,B0017JFZIA,0.0,1,1,0,0.0,2.667,1.528,3,3.0,26,30,0.79,334.667,225.987,24.0,1179187200,1325548800,3,1694.0,0.0017709563164108619,0.8666666666666667,1.0,1,0,1.6146177444479561,1
marinade,B0029NVIP2,0.0,1,1,0,0.0,5.0,0.0,3,5.0,0,0,,237.667,123.346,28.667,1291248000,1304121600,3,149.0,0.020134228187919462,0.0,1.0,0,0,2.0545177444479563,1
marinade,B0016C2OYG,0.0,1,1,0,0.0,3.0,2.828,2,3.0,14,17,0.631,370.5,231.224,36.5,1221696000,1269907200,2,558.0,0.0035842293906810036,0.8235294117647058,1.0,1,0,1.5865037389966556,1
marinade,B002NLY0QE,0.0,1,1,0,0.0,4.476,1.03,21,5.0,30,34,0.853,413.524,185.05,25.857,1268352000,1349222400,21,936.0,0.022435897435897436,0.8823529411764706,1.0,0,1,2.8439228636962675,2
marinade,B000FDBRI6,0.0,1,1,0,0.0,3.571,1.828,14,5.0,20,22,0.938,502.357,371.111,24.357,1223424000,1278288000,14,635.0,0.02204724409448819,0.9090909090909091,1.0,1,0,2.4272473531681564,1
marinade,B006N3HYDE,0.0,1,1,0,0.0,4.458,0.833,24,5.0,30,36,0.868,209.458,124.055,20.75,1258675200,1350000000,24,1057.0,0.02270577105014191,0.8333333333333334,1.0,0,1,2.8749503299472803,2
marinade,B000LRH884,0.0,1,1,0,0.0,4.0,,1,4.0,1,1,1.0,143.0,,28.0,1301702400,1301702400,1,0.0,1.0,1.0,1.0,0,0,1.7772588722239782,1
marinade,B000H7LSKW,0.0,1,1,0,0.0,5.0,,1,5.0,0,0,,1385.0,,116.0,1324339200,1324339200,1,0.0,1.0,0.0,1.0,0,0,1.7772588722239782,1
